fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221030 051413	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	717	1	1	1	0.1	50	0.5	FALSE	388699	0.0269370658692335	0.659567631876166	7087	1851	0.0241401320175405	7017	17246000	89
20221030 052744	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1774	1	1	1	0.1	50	0.5	FALSE	388699	0.00630525596299544	0.411812674252172	7202	859	0.0259420419283654	6817	17726000	90
20221030 053112	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	523	1	1	1	0.1	50	0.5	FALSE	388699	0.0308852314863682	0.810023432226785	7213	722	0.0238872005446392	7155	17530000	91
20221030 053723	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1022	1	1	1	0.1	50	0.5	FALSE	388699	0.011705110720689	0.646126518830215	6954	1264	0.0242829808150148	7274	16812000	92
20221030 054154	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	748	1	1	1	0.1	50	0.5	FALSE	388699	0.0236919018577824	0.250460358523838	7845	981	0.0288521674293012	6405	17750000	93
20221030 054523	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	464	1	1	1	0.1	50	0.5	FALSE	388699	0.0390179410174446	0.617922211550525	7177	1018	0.028517703454366	5948	18264000	94
20221030 054806	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	380	1	1	1	0.1	50	0.5	FALSE	388699	0.0352071304098029	0.755361993201453	7174	953	0.026106978260963	6751	17778000	95
20221030 055023	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	296	1	1	1	0.1	50	0.5	FALSE	388699	0.046316213346253	0.645252570511317	7192	952	0.0285143048560754	6500	17560000	96
20221030 055335	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	320	1	1	1	0.1	50	0.5	FALSE	388699	0.0238399161085517	0.60213719135921	7182	1059	0.024923810805793	7078	17684000	97
20221030 055557	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	271	1	1	1	0.1	50	0.5	FALSE	388699	0.0418951874570626	0.621352807939472	7099	1014	0.0259607327160901	6942	17396000	98
20221030 055805	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	220	1	1	1	0.1	50	0.5	FALSE	388699	0.0365820207852512	0.623723159129487	7221	1064	0.0245583769027949	7093	17494000	99
20221030 060149	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	393	1	1	1	0.1	50	0.5	FALSE	388699	0.0376631842082115	0.48249930274835	7166	1068	0.0264102316302923	6788	17144000	100
20221030 061222	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1543	1	1	1	0.1	50	0.5	FALSE	388699	0.00641053168663897	0.332889839929554	7820	260	0.0232106374170564	7603	16954000	101
